id;nazwa;Dzia³ka;Styl;Kondygnacja;Iloœc osób;Dach;Gara¿;Kuchnia;Kominek;Ogrzewanie;Efektywnoœæ ;Piwnica;Wysokoœæ;Szerokoœæ;Wysokoœæ;Powierzchnia u¿ytkowa;Powierzchnia gara¿u;Minimalna szerokoœæ dzia³ki;Minimalna g³êbokoœæ dzia³ki;K¹t nachylenia dachu;Iloœæ pomieszczeñ;Powierzchnia netto;Powierzchnia zabudowy;Powierzchnia piwnicy;Powierzchnia strychu;Kubatura netto;Powierzchnia dachu;Liczba sypialni;Liczba ³azienek;Liczba toalet;Iloœæ piêter;Senioratka
4357;ABC wersja A;3;15;18;5;22;24;26;28;31;34;39;8.3;;;108.5;;19.1;17.8;40;4;;108.7;;;;168;3;;;2;
4358;ABC wersja A paliwo sta³e;3;15;18;5;22;24;26;28;30;34;39;8.3;;;108.5;;19.1;17.8;40;4;;108.7;;;;168;3;;;2;
4326;ABI wersja A;3;15;18;5;22;40;26;28;31;34;39;7.27;;;77.9;;18.22;18.2;35;4;;104.4;;;;166.4;3;;;2;
4327;ABI wersja A paliwo sta³e;3;15;18;5;22;40;26;28;30;34;39;7.27;;;77.9;;18.22;18.2;35;4;;104.4;;;;166.4;3;;;2;
4280;ADA wersja A bez gara¿u;3;16;18;5;22;40;26;28;31;34;39;8.9;;;161.9;;22.6;18.7;42;5;;136.4;;;;206;3;;;2;
4281;ADA wersja A bez gara¿u paliwo sta³e;3;16;18;5;22;40;26;28;30;34;39;8.9;;;161.9;;22.6;18.7;42;5;;136.4;;;;206;3;;;2;
3532;ADA wersja A z podwójnym gar. paliwo sta³e;3;16;18;5;22;25;26;28;30;34;39;8.9;;;161.9;;27.6;18.7;42;5;;180.5;;;;206;3;;;2;
4018;ADA wersja A z podwójnym gara¿em;3;16;18;5;22;25;26;28;31;34;39;8.9;;;161.9;;27.6;18.7;42;5;;180.5;;;;206;3;;;2;
4046;ADA wersja A z poj. gara¿em paliwo sta³e;3;16;18;5;22;24;26;28;30;34;39;8.9;;;161.9;;24.9;18.7;42;5;;162.1;;;;206;3;;;2;
3978;ADA wersja A z pojedynczym gara¿em;3;16;18;5;22;24;26;28;31;34;39;8.9;;;161.9;;24.9;18.7;42;5;;162.1;;;;206;3;;;2;
4282;ADA wersja B bez gara¿u;3;16;18;5;22;40;26;28;31;34;39;8.9;;;166.5;;22.6;18.7;42;5;;139.6;;;;209.7;3;;;2;
4283;ADA wersja B bez gara¿u paliwo sta³e;3;16;18;5;22;40;26;28;30;34;39;8.9;;;166.5;;22.6;18.7;42;5;;139.6;;;;209.7;3;;;2;
3533;ADA wersja B z podwójnym gar. paliwo sta³e ;3;16;18;5;22;25;26;28;30;34;39;8.9;;;166.5;;27.6;18.7;42;5;;180.5;;;;209.7;3;;;2;
4019;ADA wersja B z podwójnym gara¿em;3;16;18;5;22;25;26;28;31;34;39;8.9;;;166.5;;27.6;18.7;42;5;;180.5;;;;209.7;3;;;2;
4047;ADA wersja B z poj. gara¿em paliwo sta³e ;3;16;18;5;22;24;26;28;30;34;39;8.9;;;166.5;;24.9;18.7;42;5;;162.1;;;;209.7;3;;;2;
3986;ADA wersja B z pojedynczym gara¿em;3;16;18;5;22;24;26;28;31;34;39;8.9;;;166.5;;24.9;18.7;42;5;;162.1;;;;209.7;3;;;2;
3725;ADAM bliŸniak;3;16;18;5;22;25;26;28;31;34;39;8;;;250.02;;25.06;22.1;35;10;;206;;;;137.2;3;;;2;
3722;ADAM segment skrajny lewy;1;16;18;5;22;24;26;28;31;34;39;8.05;;;125.01;;12.5;22.1;35;5;;103;;;;68.6;3;;;2;
3724;ADAM segment skrajny prawy;1;16;18;5;22;24;26;28;31;34;39;8.05;;;125.01;;12.5;22.1;35;5;;103;;;;68.6;3;;;2;
3723;ADAM segment œrodkowy;1;16;18;5;22;24;26;28;31;34;39;8.05;;;125.01;;8.33;22.1;35;5;;103;;;;68.6;3;;;2;
3202;ADAŒ II wersja A bez gara¿u;2;16;18;5;22;40;26;28;31;34;39;7.7;;;128.1;;18.5;17;38;5;;103.1;;;;135;4;;;2;
4035;ADAŒ II wersja A bez gara¿u paliwo sta³e;3;16;18;5;22;40;26;28;30;34;39;7.7;;;128.1;;18.5;17;38;5;;103.1;;;;135;4;;;2;
4034;ADAŒ II wersja B z poj. gara¿em paliwo sta³e;3;16;18;5;22;24;26;28;30;34;39;7.7;;;141;;22.2;17;38;6;;129.5;;;;178.8;4;;;2;
3203;ADAŒ II wersja B z pojedynczym gara¿em;3;16;18;5;22;24;26;28;31;34;39;7.7;;;141;;22.2;17;38;6;;129.5;;;;178.8;4;;;2;
3456;ADAŒ II wersja C z podwójnym gar. paliwo sta³e;3;16;18;5;22;25;26;28;30;34;39;7.7;;;149.9;;24.4;17;38;6;;145.1;;;;203;4;;;2;
3204;ADAŒ II wersja C z podwójnym gara¿em;3;16;18;5;22;25;26;28;31;34;39;7.7;;;149.9;;24.4;17;38;6;;145.1;;;;203;4;;;2;
4033;ADAŒ wersja A bez gara¿u paliwo sta³e;3;16;18;5;22;40;26;28;30;34;39;7.7;;;138.2;;19.5;18;38;5;;107.7;;;;120;4;;;2;
4032;ADAŒ wersja B z poj. gara¿em paliwo sta³e;3;16;18;5;22;24;26;28;30;34;39;7.7;;;138.2;;22.2;18;38;5;;134.2;;;;146;4;;;2;
3200;ADAŒ wersja B z pojedynczym gara¿em;3;16;18;5;22;24;26;28;31;34;39;7.7;;;138.2;;22.2;18;38;5;;134.2;;;;146;4;;;2;
3455;ADAŒ wersja C z podwójnym gar. paliwo sta³e;3;16;18;5;22;25;26;28;30;34;39;7.7;;;138.2;;24.4;18;38;5;;149.8;;;;120;4;;;2;
3201;ADAŒ wersja C z podwójnym gara¿em;3;16;18;5;22;25;26;28;31;34;39;7.7;;;138.2;;24.4;18;38;5;;134.2;;;;146;4;;;2;
3380;AGAT wersja A dach 22 stopnie;3;15;17;5;22;25;26;28;31;34;39;6.2;;;137.8;;25.8;21.4;22;4;;213.7;;;;274.3;3;;;1;
3465;AGAT wersja A dach 22st. paliwo sta³e ;3;15;17;5;22;25;26;28;30;34;39;6.2;;;137.8;;25.8;21.4;22;4;;213.7;;;;274.3;3;;;1;
3419;AGAT wersja B dach 32 stopnie;3;15;18;5;22;25;26;28;31;34;39;7.5;;;135.6;;25.8;21.4;32;4;;213.7;;;;299.9;3;;;2;
3466;AGAT wersja B dach 32st. paliwo sta³e ;3;15;18;5;22;25;26;28;30;34;39;7.5;;;135.6;;25.8;21.4;32;4;;213.7;;;;299.9;3;;;2;
3460;AGATKA wersja A dach 22 stopnie;3;16;17;5;22;25;26;28;31;34;39;6.1;;;137.8;;25.8;21.4;22;4;;213.7;;;;274.3;3;;;1;
3530;AGATKA wersja A dach 22 stopnie paliwo sta³e ;3;16;17;5;22;25;26;28;30;34;39;6.1;;;137.8;;25.8;21.4;22;4;;213.7;;;;274.3;3;;;1;
3461;AGATKA wersja B dach 32 stopnie;3;16;18;5;22;25;26;28;31;34;39;7.5;;;135.6;;25.8;21.4;32;4;;213.7;;;;299.9;3;;;2;
3531;AGATKA wersja B dach 32 stopnie paliwo sta³e ;3;16;18;5;22;25;26;28;30;34;39;7.5;;;135.6;;25.8;21.4;32;4;;213.7;;;;299.9;3;;;2;
3445;AGIO wersja A z poj. gar. paliwo sta³e ;3;15;18;5;23;24;27;28;30;34;39;8.8;;;138.2;;19;21.5;38;5;;128;;;;207;3;;;2;
3979;AGIO wersja A z pojedynczym gara¿em;3;15;18;5;23;24;27;28;31;34;39;8.8;;;138.2;;19;21.5;38;5;;128;;;;207;3;;;2;
3446;AGIO wersja B z podwój. gar. paliwo sta³e ;3;15;18;5;23;25;27;28;30;34;39;8.8;;;138.2;;20.5;21.5;38;5;;143.4;;;;207;3;;;2;
3987;AGIO wersja B z podwójnym gara¿em;3;15;18;5;23;25;27;28;31;34;39;8.8;;;138.2;;20.5;21.5;38;5;;143.4;;;;207;3;;;2;
4103;AIDA wersja A pojedynczy gara¿;3;15;18;5;22;24;26;28;31;34;39;8.85;;;124.2;;18.9;19.6;45;5;;118.7;;;;218.1;3;;;2;
4105;AIDA wersja A z pojedynczym gara¿em paliwo sta³e ;3;15;18;5;22;24;26;28;30;34;39;8.85;;;124.2;;18.9;19.6;45;5;;130;;;;218.1;3;;;2;
4104;AIDA wersja B poj. gara¿ i pokój nad gara¿em;3;15;18;5;22;24;26;28;31;34;39;8.85;;;139.1;;18.9;19.6;45;6;;118.7;;;;218.5;4;;;2;
4106;AIDA wersja B poj. gara¿ i pokój nad gara¿em paliwo sta³e ;3;15;18;5;22;24;26;28;30;34;39;8.85;;;139.1;;18.9;19.6;45;6;;130;;;;218.5;4;;;2;
4117;AIDA wersja C podwójny gara¿;3;15;18;5;22;25;26;28;31;34;39;8.75;;;124.2;;21.3;19.6;45;5;;151;;;;217;3;;;2;
4119;AIDA wersja C podwójny gara¿ paliwo sta³e ;3;15;18;5;22;25;26;28;30;34;39;8.75;;;124.2;;21.3;19.6;45;5;;151;;;;217;3;;;2;
4118;AIDA wersja D podwójny gar. i pokój nad gara¿em;3;15;18;5;22;25;26;28;31;34;39;8.75;;;147.6;;21.3;19.6;45;5;;151;;;;217;4;;;2;
4120;AIDA wersja D podwójny gar. i pokój nad gara¿em paliwo sta³e;3;15;18;5;22;25;26;28;30;34;39;8.75;;;147.6;;21.3;19.6;45;5;;151;;;;217;4;;;2;
3467;AKACJA 2 bliŸniak wersja B segment;3;15;18;5;23;24;26;28;31;34;39;7.7;;;166.6;;23.8;20.9;38;5;;181.7;;;;260;4;;;2;
4041;AKACJA 2 bliŸniak wersja B z pojedynczym gara¿em;3;15;18;5;23;24;26;28;31;34;39;7.7;;;333.2;;41.4;20.9;38;10;;363.4;;;;520;3;;;2;
3205;AKACJA 2 wersja A bez gara¿u;3;15;18;5;23;40;26;28;31;34;39;7.7;;;155.4;;21.1;20.9;38;5;;158;;;;232;4;;;2;
4048;AKACJA 2 wersja A bez gara¿u paliwo sta³e;3;15;18;5;23;40;26;28;30;34;39;7.7;;;155.4;;21.1;20.9;38;5;;158;;;;232;4;;;2;
4049;AKACJA 2 wersja B z poj. gara¿em paliwo sta³e;3;15;18;5;23;24;26;28;30;34;39;7.7;;;163.1;;23.8;20.9;38;5;;181.7;;;;272;4;;;2;
3206;AKACJA 2 wersja B z pojedynczym gara¿em;3;15;18;5;23;24;26;28;31;34;39;7.7;;;163.1;;23.8;20.9;38;5;;181.7;;;;272;4;;;2;
3534;AKACJA 2 wersja D z podwójnym gar. paliwo sta³e;3;15;18;5;23;25;26;28;30;34;39;7.7;;;169.3;;26.1;20.9;38;5;;196.7;;;;292;4;;;2;
3207;AKACJA 2 wersja D z podwójnym gara¿em;3;15;18;5;23;25;26;28;31;34;39;7.7;;;169.3;;26.1;20.9;38;5;;196.7;;;;292;4;;;2;
3535;AKSAMIT wersja A z podwójnym gar. paliwo sta³e;3;15;18;6;23;25;27;28;30;34;39;8.4;;;144.8;;21.1;23;38;6;;181.3;;;;276.8;5;;;2;
3980;AKSAMIT wersja A z podwójnym gara¿em;3;15;18;6;23;25;27;28;31;34;39;8.4;;;144.8;;21.1;23;38;6;;181.3;;;;276.8;5;;;2;
3982;ALA 2 wersja A z pojedynczym gara¿em;3;15;18;5;22;24;27;28;31;34;39;8.1;;;139.9;;21.3;18.2;40;5;;133.8;;;;196;4;;;2;
3981;ALA wersja A bez gara¿u;3;15;18;5;22;40;27;28;31;34;39;8.1;;;115.9;;17.9;17.8;40;4;;100.4;;;;150.6;3;;;2;
3704;ALABAMA 2 wersja A z wiat¹;3;16;18;6;23;45;26;28;31;34;39;7.4;;;159.5;;26;20.2;32;6;;200.2;;;;238.9;5;;;2;
3705;ALABAMA 2 wersja A z wiat¹ paliwo sta³e;3;16;18;6;23;45;26;28;30;34;39;7.4;;;159.5;;26;20.2;32;6;;200.2;;;;238.9;5;;;2;
4121;ALABAMA 2 wersja B bez gara¿u;3;16;18;6;23;40;26;28;31;34;39;7.4;;;159.5;;23.4;20.2;32;6;;172.7;;;;238.9;5;;;2;
4123;ALABAMA 2 wersja B bez gara¿u paliwo sta³e;3;16;18;6;23;40;26;28;30;34;39;7.4;;;159.5;;23.4;20.2;32;6;;172.7;;;;238.9;5;;;2;
4092;ALABAMA 2 wersja C z pojedynczym gara¿em;3;16;18;6;23;24;26;28;31;34;39;7.4;;;159.5;;26.1;20.2;32;6;;190.0;;;;234.5;5;;;2;
4093;ALABAMA 2 wersja C z pojedynczym gara¿em paliwo sta³e;3;16;18;6;23;24;26;28;30;34;39;7.4;;;159.5;;26.1;20.2;32;6;;190.0;;;;234.5;5;;;2;
4122;ALABAMA 2 wersja D z podwójnym gara¿em;3;16;18;6;23;25;26;28;31;34;39;7.4;;;159.5;;28.5;20.2;32;6;;218.1;;;;238.9;5;;;2;
4124;ALABAMA 2 wersja D z podwójnym gara¿em paliwo sta³e;3;16;18;6;23;25;26;28;30;34;39;7.4;;;159.5;;28.5;20.2;32;6;;218.1;;;;238.9;5;;;2;
4299;ALABAMA 3 wersja A z wiat¹;3;16;17;5;23;45;26;28;31;34;39;5.72;;;127.3;;26;20.2;20;4;;198.9;;;;221.6;3;;;1;
4298;ALABAMA 3 wersja A z wiat¹ paliwo sta³e;3;16;17;5;23;45;26;28;30;34;39;5.72;;;127.3;;26;20.2;20;4;;198.9;;;;221.6;3;;;1;
4300;ALABAMA 3 wersja B bez gara¿u;3;16;17;5;23;40;26;28;31;34;39;5.72;;;127.3;;23.4;20.2;20;4;;172.2;;;;221.6;3;;;1;
4301;ALABAMA 3 wersja B bez gara¿u paliwo sta³e;3;16;17;5;23;40;26;28;30;34;39;5.72;;;127.3;;23.4;20.2;20;4;;172.2;;;;221.6;3;;;1;
4302;ALABAMA 3 wersja C z pojedynczym gara¿em;3;16;17;5;23;24;26;28;31;34;39;5.72;;;127.3;;26.1;20.2;20;4;;200.2;;;;219.3;3;;;1;
4303;ALABAMA 3 wersja C z pojedynczym gara¿em paliwo sta³e;3;16;17;5;23;24;26;28;30;34;39;5.72;;;127.3;;26.1;20.2;20;4;;200.2;;;;219.3;3;;;1;
